ar,bn,en,es,fr,hi,ja,ko,pa,pt,ru,tr,uk,vi,zh
أخصائي تغذية,পুষ্টিবিদ,Nutritionist,Nutricionista,Nutritionniste,पोषण विशेषज्ञ,栄養士,영양학자,ਪੋਸ਼ਣ ਮਾਹਿਰ,Nutricionista,Диетолог / Нутрициолог,Beslenme Uzmanı,Нутриціолог,Chuyên gia dinh dưỡng,营养学家
طبيب حديثي الولادة,নিওনেটোলজিস্ট,Neonatologist,Neonatólogo(a),Néonatologiste,नवजात शिशु रोग विशेषज्ञ,新生児専門医,신생아과 전문의,ਨਵਜੰਮੇ ਬੱਚਿਆਂ ਦਾ ਮਾਹਿਰ,Neonatologista,Неонатолог,Neonatolog,Неонатолог,Bác sĩ sơ sinh,新生儿科医生
طبيب أمراض الكلى,নেফ্রোলজিস্ট,Nephrologist,Nefrólogo(a),Néphrologue,किडनी रोग विशेषज्ञ,腎臓専門医,신장내과 전문의,ਗੁਰਦਿਆਂ ਦੇ ਰੋਗਾਂ ਦਾ ਮਾਹਿਰ,Nefrologista,Нефролог,Nefroloji Uzmanı,Нефролог,Bác sĩ thận,肾脏病科医生
أخصائي الأنف والأذن والحنجرة,ইএনটি বিশেষজ্ঞ,ENT Specialist,Otorrinolaringólogo(a),Spécialiste ORL,ईएनटी विशेषज्ञ,耳鼻咽喉科医,이비인후과 전문의,ENT ਮਾਹਿਰ,Otorrinolaringologista,ЛОР-врач / Оториноларинголог,Kulak Burun Boğaz (KBB) Uzmanı,ЛОР-спеціаліст (Отоларинголог),Bác sĩ tai mũi họng,耳鼻喉科专家
طبيب التوليد,অবস্টেট্রিশিয়ান,Obstetrician,Obstetra,Obstétricien,दाई,産科医,산과 의사,ਪ੍ਰਸੂਤੀ ਮਾਹਿਰ,Obstetra,Акушер-гинеколог,Kadın Hastalıkları ve Doğum Uzmanı,Акушер-гінеколог,Bác sĩ sản khoa,产科医生
صانع العيون الاصطناعية,অকুলারিস্ট,Ocularist,Ocularista,Oculariste,नेत्र विशेषज्ञ,義眼技工士,의안 기공사,ਬਨਾਵਟੀ ਅੱਖਾਂ ਦਾ ਮਾਹਿਰ,Ocularista,Окулярист / Специалист по глазному протезированию,Okülarist (Göz Protez Uzmanı),Окулярист (технік-протезист ока),Chuyên gia tạo mắt giả,义眼师
طبيب أورام,অনকোলজিস্ট,Oncologist,Oncólogo(a),Oncologiste,ऑन्कोलॉजिस्ट,腫瘍専門医,종양 전문의,ਓਨਕੋਲੋਜਿਸਟ,Oncologista,Онколог,Onkoloji Uzmanı,Онколог,Bác sĩ ung thư,肿瘤科医生
طبيب أورام طبي,মেডিকেল অনকোলজিস্ট,Medical Oncologist,Oncólogo(a) Médico(a),Oncologue médical,मेडिकल ऑन्कोलॉजिस्ट,腫瘍内科医,종양내과 전문의,ਮੈਡੀਕਲ ਓਨਕੋਲੋਜਿਸਟ,Oncologista Clínico(a),Врач-онколог,Tıbbi Onkolog,Клінічний онколог,Bác sĩ ung thư nội khoa,肿瘤内科医生
طبيب أورام الأطفال,পেডিয়াট্রিক অনকোলজিস্ট,Pediatric Oncologist,Oncólogo(a) Pediátrico(a),Oncologue pédiatrique,बाल चिकित्सा ऑन्कोलॉजिस्ट,小児腫瘍専門医,소아종양 전문의,ਬੱਚਿਆਂ ਦਾ ਓਨਕੋਲੋਜਿਸਟ,Oncologista Pediátrico(a),Детский онколог,Pediatrik Onkolog,Дитячий онколог,Bác sĩ ung thư nhi,儿科肿瘤医生
طبيب عيون,অফথালমোলজিস্ট,Ophthalmologist,Oftalmólogo(a),Ophtalmologiste,नेत्र-विशेषज्ञ,眼科医,안과 의사,ਅੱਖਾਂ ਦਾ ਡਾਕਟਰ,Oftalmologista,Офтальмолог,Oftalmoloji Uzmanı (Göz Doktoru),Офтальмолог,Bác sĩ nhãn khoa,眼科医生
أخصائي بصريات,অপটিশিয়ান,Optician,Óptico(a),Opticien,प्रकाशविज्ञानशास्री,眼鏡技師,안경사,ਐਨਕਾਂ ਦਾ ਮਾਹਿਰ,Óptico(a),Оптик,Gözlükçü,Оптик,Kỹ thuật viên đo mắt,眼镜商
فاحص البصر,অপটোমেট্রিস্ট,Optometrist,Optometrista,Optométriste,ऑप्टोमेट्रिस्ट,検眼医,검안사,ਓਪਟੋਮੈਟ੍ਰਿਸਟ,Optometrista,Оптометрист,Optometrist,Оптометрист,Chuyên gia khúc xạ nhãn khoa,验光师
أخصائي تقويم الأسنان,অর্থোডন্টিস্ট,Orthodontist,Ortodoncista,Orthodontiste,ओथडोटिस,歯科矯正医,치과교정과 전문의,ਆਰਥੋਡੌਂਟਿਸਟ,Ortodontista,Ортодонт,Ortodonti Uzmanı,Ортодонт,Bác sĩ chỉnh nha,牙齿矫正医生
معالج النطق,স্পিচ থেরাপিস্ট,Speech Therapist,Logopeda,Orthophoniste,भाषण चिकित्सक,言語聴覚士,언어치료사,ਸਪੀਚ ਥੈਰੇਪਿਸਟ,Fonoaudiólogo(a),Логопед,Konuşma Terapisti,Логопед,Chuyên viên trị liệu ngôn ngữ,言语治疗师
أخصائي تقويم العظام والأطراف الاصطناعية,অর্থোটিস্ট-প্রোস্থেটিস্ট,Orthotist-Prosthetist,Ortesista-Protesista,Orthésiste-Prothésiste,ऑर्थोटिस्ट-प्रोस्थेटिस्ट,義肢装具士,의지보조기 기사,ਆਰਥੋਟਿਸਟ-ਪ੍ਰੋਸਥੇਟਿਸਟ,Ortesista-Protesista,Ортезист-протезист,Ortez-Protez Uzmanı,Ортезист-протезист,Kỹ thuật viên chỉnh hình - lắp tay chân giả,矫形与假肢技师
أخصائي تقويم البصر,অর্থোপটিস্ট,Orthoptist,Ortoptista,Orthoptiste,ऑर्थोपटिस्ट,視能訓練士,시능훈련사,ਆਰਥੋਪਟਿਸਟ,Ortoptista,Ортоптист,Ortoptist,Ортоптист,Chuyên gia phục hồi chức năng thị giác,视轴矫正师
أخصائي جراحة العظام,অর্থোপেডিস্ট,Orthopedist,Ortopedista,Orthopédiste,ओर्थपेडीस्ट,整形外科医,정형외과 의사,ਹੱਡੀਆਂ ਦਾ ਡਾਕਟਰ,Ortopedista,Ортопед,Ortopedi Uzmanı,Ортопед,Bác sĩ chỉnh hình,骨科医生
أخصائي تقويم العظام,অর্থোটিস্ট,Orthotist,Ortesista,Orthésiste,ऑर्थोटिस्ट,装具士,보조기 기사,ਆਰਥੋਟਿਕਸ ਮਾਹਿਰ,Ortesista,Ортезист,Ortez Uzmanı,Ортезист,Thợ chỉnh hình,矫形器技师
أخصائي تقويم العظام,অস্টিওপ্যাথ,Osteopath,Osteópata,Ostéopathe,अस्थिरोगचिकित्सा,オステオパス,오스테오패스,ਓਸਟੀਓਪੈਥ,Osteopata,Остеопат,Osteopat,Остеопат,Bác sĩ nắn xương,整骨疗法医师
أخصائي أمراض اللثة,পেরিওডন্টিস্ট,Periodontist,Periodoncista,Parodontiste,पैरीडोंटिस्ट,歯周病専門医,치주과 전문의,ਪੀਰੀਓਡੌਨਟਿਸਟ,Periodontista,Пародонтолог,Periodontoloji Uzmanı,Пародонтолог,Bác sĩ nha chu,牙周病专家
أخصائي علم الأمراض الشرعي,ফরেনসিক প্যাথলজিস্ট,Forensic Pathologist,Patólogo(a) Forense,Pathologiste judiciaire,फोरेंसिक पैथोलॉजिस्ट,法病理医,법의병리학자,ਫੋਰੈਂਸਿਕ ਪੈਥੋਲੋਜਿਸਟ,Patologista Forense,Судебный патологоанатом,Adli Patolog,Судово-медичний патологоанатом,Bác sĩ pháp y,法医病理学家
أخصائي التروية,পারফিউশনিস্ট,Perfusionist,Perfusionista,Perfusionniste,पर्फ्युज़निस्ट,体外循環技術者,체외순환사,ਪਰਫਿਊਜ਼ਨਿਸਟ,Perfusionista,Перфузиолог,Perfüzyonist,Перфузіолог,Kỹ thuật viên tuần hoàn ngoài cơ thể,体外灌注师
صيدلي,ফার্মাসিস্ট,Pharmacist,Farmacéutico(a),Pharmacien,फार्मेसिस्ट,薬剤師,약사,ਫਾਰਮਾਸਿਸਟ,Farmacêutico(a),Фармацевт,Eczacı,Фармацевт,Dược sĩ,药剂师
صيدلي سريري,ক্লিনিকাল ফার্মাসিস্ট,Clinical Pharmacist,Farmacéutico(a) Clínico(a),Pharmacien clinicien,क्लिनिकल फार्मासिस्ट,臨床薬剤師,임상 약사,ਕਲੀਨਿਕਲ ਫਾਰਮਾਸਿਸਟ,Farmacêutico(a) Clínico(a),Клинический фармацевт,Klinik Eczacı,Клінічний фармацевт,Dược sĩ lâm sàng,临床药剂师
صيدلي المستشفى,হাসপাতাল ফার্মাসিস্ট,Hospital Pharmacist,Farmacéutico(a) Hospitalario(a),Pharmacien d'hôpital,अस्पताल फार्मासिस्ट,病院薬剤師,병원 약사,ਹਸਪਤਾਲ ਦਾ ਫਾਰਮਾਸਿਸਟ,Farmacêutico(a) Hospitalar,Больничный фармацевт,Hastane Eczacısı,Лікарняний фармацевт,Dược sĩ bệnh viện,医院药剂师
صيدلي صناعي,ইন্ডাস্ট্রিয়াল ফার্মাসিস্ট,Industrial Pharmacist,Farmacéutico(a) Industrial,Pharmacien industriel,औद्योगिक फार्मासिस्ट,製薬薬剤師,산업 약사,ਉਦਯੋਗਿਕ ਫਾਰਮਾਸਿਸਟ,Farmacêutico(a) Industrial,Промышленный фармацевт,Endüstri Eczacısı,Промисловий фармацевт,Dược sĩ công nghiệp,工业药剂师
صيدلاني,ফার্মাকোলজিস্ট,Pharmacologist,Farmacólogo(a),Pharmacologue,औषध विज्ञानी,薬理学者,약리학자,ਫਾਰਮਾਕੋਲੋਜਿਸਟ,Farmacologista,Фармаколог,Farmakolog,Фармаколог,Bác sĩ dược lý học,药理学家
طيار مروحية طبية,মেডিকেল হেলিকপ্টার পাইলট,Medical Helicopter Pilot,Piloto de Helicóptero Medicalizado,Pilote d'hélicoptère médical,मेडिकल हेलीकॉप्टर पायलट,ドクターヘリパイロット,의료 헬리콥터 조종사,ਮੈਡੀਕਲ ਹੈਲੀਕਾਪਟਰ ਪਾਇਲਟ,Piloto(a) de Helicóptero Médico,Пилот медицинского вертолёта,Tıbbi Helikopter Pilotu,Пілот медичного гелікоптера,Phi công trực thăng y tế,医疗直升机飞行员
طبيب أمراض الرئة,পালমোনোলজিস্ট,Pulmonologist,Neumólogo(a),Pneumologue,फुफ्फुसीय रोग विशेषज्ञ,呼吸器専門医,호흡기내과 전문의,ਪਲਮੋਨੋਲੋਜਿਸਟ,Pneumologista,Пульмонолог,Göğüs Hastalıkları Uzmanı,Пульмонолог,Bác sĩ hô hấp,肺科医生
أخصائي طب الأقدام,পডিয়াট্রিস্ট,Podiatrist,Podólogo(a),Podologue,पोडियाट्रिस्ट,足病医,족부 전문의,ਪੋਡੀਆਟ੍ਰਿਸਟ,Podólogo(a),Подолог,Podolog,Подолог,Bác sĩ chuyên chân,足病医生
ناقل الوجبات الطبية,মেডিকেল মিল ক্যারিয়ার,Medical Meal Carrier,Portador(a) de Comidas Médicas,Porteur de repas médical,चिकित्सा भोजन वाहक,医療食配膳担当,의료식 배식 담당자,ਮੈਡੀਕਲ ਭੋਜਨ ਪਹੁੰਚਾਉਣ ਵਾਲਾ,Transportador(a) de Refeições Médicas,Доставщик медицинского питания,Tıbbi Yemek Taşıma Görevlisi,Кур'єр з доставки медичного харчування,Người vận chuyển suất ăn y tế,医疗配餐员
ممارس الأيورفيدا,আয়ুর্বেদিক অনুশীলনকারী,Ayurvedic Practitioner,Practicante de Medicina Ayurvédica,Praticien ayurvédique,आयुर्वेदिक चिकित्सक,アーユルヴェーダ実践者,아유르베다 시술자,ਆਯੁਰਵੈਦਿਕ ਪ੍ਰੈਕਟੀਸ਼ਨਰ,Praticante de Ayurveda,Практикующий специалист по аюрведе,Ayurveda Uygulayıcısı,Практик аюрведичної медицини,Thầy thuốc Ayurvedic,阿育吠陀从业者
ممارس الطب الصيني التقليدي,ঐতিহ্যবাহী চীনা ঔষধ অনুশীলনকারী,Traditional Chinese Medicine Practitioner,Practicante de Medicina Tradicional China,Praticien en médecine traditionnelle chinoise,पारंपरिक चीनी चिकित्सा व्यवसायी,中医学実践者,중의학 시술자,ਰਵਾਇਤੀ ਚੀਨੀ ਦਵਾਈ ਪ੍ਰੈਕਟੀਸ਼ਨਰ,Praticante de Medicina Tradicional Chinesa,Практикующий специалист по традиционной китайской медицине,Geleneksel Çin Tıbbı Uygulayıcısı,Практик традиційної китайської медицини,Thầy thuốc Đông y,中医师
ممارس طب الطاقة,শক্তি ঔষধ অনুশীলনকারী,Energy Medicine Practitioner,Practicante de Medicina Energética,Praticien en médecine énergétique,ऊर्जा चिकित्सा व्यवसायी,エネルギー療法実践者,에너지 의학 시술자,ਊਰਜਾ ਦਵਾਈ ਪ੍ਰੈਕਟੀਸ਼ਨਰ,Praticante de Medicina Energética,Практикующий специалист по энергетической медицине,Enerji Tıbbı Uygulayıcısı,Практик енергетичної медицини,Chuyên gia y học năng lượng,能量医学从业者
ممارس شياتسو,শিয়াতসু অনুশীলনকারী,Shiatsu Practitioner,Practicante de Shiatsu,Praticien en Shiatsu,शियात्सू प्रैक्टिशनर,指圧師,지압사,ਸ਼ੀਆਤਸੂ ਪ੍ਰੈਕਟੀਸ਼ਨਰ,Praticante de Shiatsu,Практикующий специалист по шиацу,Shiatsu Uygulayıcısı,Практик шіацу,Chuyên gia trị liệu Shiatsu,指压治疗师
ممارس التنويم المغناطيسي,হিপনোসিস অনুশীলনকারী,Hypnosis Practitioner,Practicante de Hipnosis,Praticien en hypnose,सम्मोहन चिकित्सक,催眠療法士,최면 치료사,ਹਿਪਨੋਸਿਸ ਪ੍ਰੈਕਟੀਸ਼ਨਰ,Praticante de Hipnose,Гипнотерапевт,Hipnoz Uygulayıcısı,Практик гіпнозу,Chuyên gia trị liệu thôi miên,催眠治疗师
طبيب المستقيم,প্রোক্টোলজিস্ট,Proctologist,Proctólogo(a),Proctologue,प्रोक्टोलॉजिस्ट,肛門科医,항문외과 의사,ਪ੍ਰੋਕਟੋਲੋਜਿਸਟ,Proctologista,Проктолог,Proktoloji Uzmanı,Проктолог,Bác sĩ hậu môn trực tràng,直肠科医生
مروج الصحة,স্বাস্থ্য প্রবর্তক,Health Promoter,Promotor(a) de Salud,Promoteur de la santé,स्वास्थ्य संवर्धक,ヘルスプロモーター,건강 증진 전문가,ਸਿਹਤ ਪ੍ਰਮੋਟਰ,Promotor(a) de Saúde,Пропагандист здорового образа жизни,Sağlık Geliştirme Uzmanı,Промоутер здоров'я,Nhân viên truyền thông sức khỏe,健康促进专员
أخصائي تركيبات الأسنان,প্রোস্থোডন্টিস্ট,Prosthodontist,Prostodoncista,Prosthodontiste,प्रोस्थोडोन्टिस्ट,補綴歯科専門医,치과보철과 전문의,ਪ੍ਰੋਸਥੋਡੋਟਿਸਟ,Protesista,Стоматолог-протезист,Protez Uzmanı,Стоматолог-ортопед,Bác sĩ phục hình răng,修复齿科医生
فني صيدلة,ফার্মেসি টেকনিশিয়ান,Pharmacy Technician,Técnico(a) de Farmacia,Technicien en pharmacie,फार्मेसी तकनीशियन,薬局技術者,약국 테크니션,ਫਾਰਮੇਸੀ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) de Farmácia,Фармацевт-техник,Eczane Teknisyeni,Фармацевтичний технік,Kỹ thuật viên dược,药房技术员
طبيب نفسي,সাইকিয়াট্রিস্ট,Psychiatrist,Psiquiatra,Psychiatre,मनोचिकित्सक,精神科医,정신건강의학과 의사,ਮਨੋਵਿਗਿਆਨੀ,Psiquiatra,Психиатр,Psikiyatrist,Психіатр,Bác sĩ tâm thần,精神科医生
أخصائي نفسي سريري,ক্লিনিকাল সাইকোলজিস্ট,Clinical Psychologist,Psicólogo(a) Clínico(a),Psychologue clinicien,नैदानिक ​​मनोविज्ञानी,臨床心理士,임상심리사,ਕਲੀਨਿਕਲ ਮਨੋਵਿਗਿਆਨੀ,Psicólogo(a) Clínico(a),Клинический психолог,Klinik Psikolog,Клінічний психолог,Bác sĩ tâm lý lâm sàng,临床心理学家
أخصائي علم النفس المهني,অকুপেশনাল সাইকোলজিস্ট,Occupational Psychologist,Psicólogo(a) del Trabajo,Psychologue du travail,व्यावसायिक मनोवैज्ञानिक,産業心理学者,산업심리학자,ਕਿੱਤਾਮੁਖੀ ਮਨੋਵਿਗਿਆਨੀ,Psicólogo(a) do Trabalho,Профессиональный психолог,Endüstri Psikoloğu,Психолог праці,Bác sĩ tâm lý nghề nghiệp,职业心理学家
أخصائي نفسي شرعي,ফরেনসিক সাইকোলজিস্ট,Forensic Psychologist,Psicólogo(a) Forense,Psychologue judiciaire,फोरेंसिक मनोवैज्ञानिक,法心理学者,법의심리학자,ਫੋਰੈਂਸਿਕ ਮਨੋਵਿਗਿਆਨੀ,Psicólogo(a) Forense,Судебный психолог,Adli Psikolog,Судовий психолог,Bác sĩ tâm lý pháp y,法医心理学家
أخصائي نفسي مدرسي,স্কুল সাইকোলজিস্ট,School Psychologist,Psicólogo(a) Escolar,Psychologue scolaire,स्कूली मनोवैज्ञानिक,スクールサイコロジスト,학교 심리학자,ਸਕੂਲ ਮਨੋਵਿਗਿਆਨੀ,Psicólogo(a) Escolar,Школьный психолог,Okul Psikoloğu,Шкільний психолог,Bác sĩ tâm lý học đường,学校心理学家
معالج نفسي حركي,সাইকোমোটর থেরাপিস্ট,Psychomotor Therapist,Psicomotricista,Thérapeute psychomotricien,साइकोमोटर थेरेपिस्ट,心理運動療法士,심리운동치료사,ਸਾਈਕੋਮੋਟਰ ਥੈਰੇਪਿਸਟ,Psicomotricista,Психомоторный терапевт,Psikomotor Terapisti,Психомоторний терапевт,Nhà trị liệu vận động tâm lý,心理运动治疗师
معالج نفسي,সাইকোথেরাপিস্ট,Psychotherapist,Psicoterapeuta,Psychothérapeute,मनोचिकित्सक,心理療法士,심리치료사,ਮਨੋ-ਚਿਕਿਤਸਕ,Psicoterapeuta,Психотерапевт,Psikoterapist,Психотерапевт,Nhà trị liệu tâm lý,心理治疗师
ممرضة أطفال,পেডিয়াট্রিক নার্স,Pediatric Nurse,Enfermero(a) Pediátrico(a),Infirmière pédiatrique,बाल चिकित्सा नर्स,小児看護師,아동전문간호사,ਬਾਲ ਰੋਗ ਨਰਸ,Enfermeiro(a) Pediátrico(a),Детская медсестра,Pediatri Hemşiresi,Педіатрична медсестра,Y tá nhi khoa,儿科护士
طبيب أطفال,পেডিয়াট্রিশিয়ান,Pediatrician,Pediatra,Pédiatre,बच्चों का चिकित्सक,小児科医,소아청소년과 의사,ਬਾਲ ਰੋਗਾਂ ਦਾ ਮਾਹਿਰ,Pediatra,Педиатр,Pediatrist (Çocuk Doktoru),Педіатр,Bác sĩ nhi,儿科医生
أخصائي طب الأقدام,চিরোপোডিস্ট-পডিয়াট্রিস্ট,Chiropodist-Podiatrist,Quiropodista-Podólogo(a),Podologue-Pédiatre,कायरोपोडिस्ट-पोडियाट्रिस्ट,足治療医,족부 치료사,ਕਾਇਰੋਪੋਡਿਸਟ-ਪੋਡੀਆਟ੍ਰਿਸਟ,Podólogo(a),Подолог,Podiatrist,Подолог-хіропод,Bác sĩ nắn xương-Bác sĩ chuyên khoa chân,足科医生
طبيب نفسي للأطفال,চাইল্ড সাইকিয়াট্রিস্ট,Child Psychiatrist,Psiquiatra Infantil,Pédopsychiatre,बाल मनोचिकित्सक,児童精神科医,소아정신과 의사,ਬਾਲ ਮਨੋਵਿਗਿਆਨੀ,Psiquiatra Infantil,Детский психиатр,Çocuk Psikiyatristi,Дитячий психіатр,Bác sĩ tâm thần trẻ em,儿童精神科医生
أخصائي علاج الأورام بالإشعاع,রেডিয়েশন অনকোলজিস্ট,Radiation Oncologist,Oncólogo(a) Radioterápico(a),Radio-oncologue,रेडिएशन ऑन्कोलॉजिस्ट,放射線腫瘍医,방사선종양학과 전문의,ਰੇਡੀਏਸ਼ਨ ਓਨਕੋਲੋਜਿਸਟ,Radio-oncologista,Радиационный онколог,Radyasyon Onkolojisi Uzmanı,Радіаційний онколог,Bác sĩ xạ trị ung thư,放射肿瘤学家
أخصائي التشخيص الإشعاعي,রেডিওডায়াগনস্টিক বিশেষজ্ঞ,Radiodiagnostic Specialist,Especialista en Radiodiagnóstico,Spécialiste en radiodiagnostic,रेडियोडायग्नोस्टिक विशेषज्ञ,放射線診断専門医,영상의학과 전문의,ਰੇਡੀਓਡਾਇਗਨੌਸਟਿਕ ਮਾਹਿਰ,Especialista em Radiodiagnóstico,Специалист по лучевой диагностике,Radyodiagnostik Uzmanı,Спеціаліст з радіодіагностики,Bác sĩ chẩn đoán hình ảnh,放射诊断专家
أخصائي الأشعة,রেডিওলজিস্ট,Radiologist,Radiólogo(a),Radiologue,रेडियोलोकेशन करनेवाला,放射線科医,방사선과 의사,ਰੇਡੀਓਲੋਜਿਸਟ,Radiologista,Рентгенолог,Radyolog,Рентгенолог,Bác sĩ X quang,放射科医生
أخصائي العلاج الإشعاعي,রেডিওথেরাপিস্ট,Radiotherapist,Radioterapeuta,Radiothérapeute,रेडियोथेरेपिस्ट,放射線療法士,방사선 치료사,ਰੇਡੀਓਥੈਰੇਪਿਸਟ,Radioterapeuta,Радиотерапевт,Radyoterapist,Радіотерапевт,Bác sĩ xạ trị,放射治疗师
مسؤول توظيف طبي,মেডিকেল নিয়োগকারী,Medical Recruiter,Reclutador(a) Médico(a),Recruteur médical,मेडिकल रिक्रूटर,医療リクルーター,의료 전문 채용 담당자,ਮੈਡੀਕਲ ਭਰਤੀਕਾਰ,Recrutador(a) Médico(a),Рекрутер в сфере медицины,Tıbbi İşe Alım Uzmanı,Медичний рекрутер,Nhân viên tuyển dụng y tế,医疗招聘专员
مدير نظم المعلومات الصحية,স্বাস্থ্য তথ্য সিস্টেম ম্যানেজার,Health Information Systems Manager,Responsable de Sistemas de Información de Salud,Responsable des systèmes d'information de santé,स्वास्थ्य सूचना प्रणाली प्रबंधक,医療情報システムマネージャー,의료정보시스템 관리자,ਸਿਹਤ ਸੂਚਨਾ ਪ੍ਰਣਾਲੀ ਦਾ ਮੈਨੇਜਰ,Gerente de Sistemas de Informação em Saúde,Менеджер медицинских информационных систем,Sağlık Bilgi Sistemleri Yöneticisi,Менеджер інформаційних систем охорони здоров'я,Quản lý hệ thống thông tin y tế,健康信息系统经理
مدير الاعتماد,অ্যাক্রিডিটেশন ম্যানেজার,Accreditation Manager,Responsable de Acreditación,Responsable de l'accréditation,मान्यता प्रबंधक,認定マネージャー,인증 관리자,ਮਾਨਤਾ ਮੈਨੇਜਰ,Gerente de Acreditação,Менеджер по аккредитации,Akreditasyon Yöneticisi,Менеджер з акредитації,Quản lý công nhận chất lượng,认证经理
مدير الصندوق والمحاسبة,ক্যাশ রেজিস্টার এবং জার্নাল ম্যানেজার,Cash Register and Journal Manager,Responsable de Caja y Diario,Responsable de la caisse enregistreuse et du journal,कैश रजिस्टर और जर्नल मैनेजर,現金出納・仕訳マネージャー,출납 및 회계 관리자,ਨਕਦ ਰਜਿਸਟਰ ਅਤੇ ਜਰਨਲ ਮੈਨੇਜਰ,Gerente de Caixa e Diário,Менеджер по кассовым операциям,Kasa ve Defter Sorumlusu,Менеджер каси та журналу,Quản lý sổ quỹ và ghi chép,收银与账务经理
مدير الترميز و PMSI,কোডিং এবং পিএমএসআই ম্যানেজার,Coding and PMSI Manager,Responsable de Codificación y PMSI,Responsable codage et PMSI,कोडिंग और पीएमएसआई प्रबंधक,コーディング・PMSIマネージャー,코딩 및 PMSI 관리자,ਕੋਡਿੰਗ ਅਤੇ PMSI ਮੈਨੇਜਰ,Gerente de Codificação e PMSI,Менеджер по кодированию и PMSI,Kodlama ve GİP Yöneticisi,Менеджер з кодування та PMSI,Quản lý mã hóa và PMSI,编码与PMSI经理
مدير الاتصالات الصحية,স্বাস্থ্য যোগাযোগ ব্যবস্থাপক,Health Communication Manager,Responsable de Comunicación en Salud,Responsable communication santé,स्वास्थ्य संचार प्रबंधक,ヘルスケアコミュニケーションマネージャー,헬스커뮤니케이션 관리자,ਸਿਹਤ ਸੰਚਾਰ ਮੈਨੇਜਰ,Gerente de Comunicação em Saúde,Менеджер по коммуникациям в здравоохранении,Sağlık İletişim Yöneticisi,Менеджер з комунікацій у сфері охорони здоров’я,Quản lý truyền thông y tế,健康传播经理
مدير الابتكار الصحي,স্বাস্থ্য উদ্ভাবন ব্যবস্থাপক,Health Innovation Manager,Responsable de Innovación en Salud,Responsable de l'innovation en santé,स्वास्थ्य नवाचार प्रबंधक,ヘルスイノベーションマネージャー,헬스케어 혁신 관리자,ਸਿਹਤ ਨਵੀਨਤਾ ਮੈਨੇਜਰ,Gerente de Inovação em Saúde,Менеджер по инновациям в здравоохранении,Sağlık İnovasyon Yöneticisi,Менеджер з інновацій у сфері охорони здоров’я,Quản lý đổi mới trong y tế,健康创新经理
مدير القطب,পোল ম্যানেজার,Pole Manager,Responsable de Polo,Responsable de pôle,पोल मैनेजर,部門マネージャー,부문 관리자,ਵਿਭਾਗ ਦਾ ਮੈਨੇਜਰ,Gerente de Polo,Руководитель направления,Bölüm Yöneticisi,Керівник відділення,Quản lý đơn vị chuyên môn,部门经理
مدير نفايات المستشفيات,হাসপাতাল বর্জ্য ব্যবস্থাপক,Hospital Waste Manager,Responsable de Residuos Hospitalarios,Gestionnaire des déchets hospitaliers,अस्पताल अपशिष्ट प्रबंधक,病院廃棄物マネージャー,병원 폐기물 관리자,ਹਸਪਤਾਲ ਦਾ ਵੇਸਟ ਮੈਨੇਜਰ,Gerente de Resíduos Hospitalares,Менеджер по утилизации больничных отходов,Hastane Atık Yöneticisi,Менеджер з утилізації лікарняних відходів,Quản lý rác thải bệnh viện,医院废物处理经理
مدير رفض NO_MIE,NO_MIE প্রত্যাখ্যান ব্যবস্থাপক,NO_MIE Rejection Manager,Responsable de Rechazos NO_MIE,Gestionnaire de rejet NO_MIE,NO_MIE अस्वीकृति प्रबंधक,NO_MIE拒否対応マネージャー,NO_MIE 거부 처리 관리자,NO_MIE ਅਸਵੀਕਾਰਤਾ ਮੈਨੇਜਰ,Gerente de Rejeição NO_MIE,Менеджер по обработке отказов NO_MIE,NO_MIE Red Yönetimi Sorumlusu,Менеджер з обробки відхилень NO_MIE,Quản lý từ chối NO_MIE,NO_MIE拒付处理经理
مدير النظافة,হাইজিন ম্যানেজার,Hygiene Manager,Responsable de Higiene,Responsable de l'hygiène,स्वच्छता प्रबंधक,衛生マネージャー,위생 관리자,ਸਫਾਈ ਮੈਨੇਜਰ,Gerente de Higiene,Менеджер по гигиене,Hijyen Müdürü,Менеджер з гігієни,Quản lý vệ sinh bệnh viện,卫生经理
مدير لوجستيات المستشفى,হাসপাতাল লজিস্টিকস ম্যানেজার,Hospital Logistics Manager,Responsable de Logística Hospitalaria,Responsable logistique hospitalière,अस्पताल रसद प्रबंधक,病院ロジスティクスマネージャー,병원 물류 관리자,ਹਸਪਤਾਲ ਲੌਜਿਸਟਿਕਸ ਮੈਨੇਜਰ,Gerente de Logística Hospitalar,Менеджер по больничной логистике,Hastane Lojistik Müdürü,Менеджер з логістики лікарні,Quản lý hậu cần bệnh viện,医院后勤经理
مدير رواتب الصحة,স্বাস্থ্য বেতন ব্যবস্থাপক,Health Payroll Manager,Responsable de Nóminas de Salud,Gestionnaire de la paie en santé,स्वास्थ्य पेरोल प्रबंधक,医療給与マネージャー,의료 급여 관리자,ਸਿਹਤ ਤਨਖਾਹ ਮੈਨੇਜਰ,Gerente de Folha de Pagamento da Saúde,Менеджер по расчёту заработной платы,Sağlık Bordro Yöneticisi,Менеджер із заробітної плати у сфері охорони здоров'я,Quản lý lương y tế,医疗薪酬经理
